struct offsets accessed via base reg in [8005cc00,8005ec04):
   off wid    r    w kind
0x001c   2    4    3 int
0x0024   4    0    1 float
0x0030   4    1    1 float
0x0041   1    2    0 int
0x0044   4    9   16 float
0x0048   4    5   19 float
0x004c   4    0    9 float
0x0050   4    2   18 float
0x0058   4    5    6 float
0x005c   4    2    6 float
0x0060   4    1    5 float
0x006c   4    3    0 float
0x0072   2   23    8 int
0x007c   2    0    4 int
0x007e   2    2    7 int
0x0080   2    0    4 int
0x0082   1    0    2 int
0x0087   1    0    8 int
0x0096   1    1    0 int
0x00b4   4   11    0 float
0x0190   1    3    1 int
0x0272   2    0    9 int
0x0284   2   14    0 int
0x03f3   1    3    0 int
0x04ac   4   12    0 int
0x04b0   4    1    0 int
0x0544   1   37   41 int
0x0545   1    1    1 int
0x0550   2   11   15 int
0x0552   2    4    5 int
0x0568   4   10    9 float
0x056c   4    3    2 float
0x0570   4    2    3 float
0x057c   1    3    1 int
0x057d   1    0    1 int
0x0590   1    0    1 int
0x0591   1    7    0 int
0x05aa   2    5    9 int
0x05ac   2    6    8 int
0x05ae   2   17   14 int
0x05b0   2    2    0 int
0x05b4   4    2    0 int
0x05e0   4   20   20 int
0x05ec   4    0    1 float
0x0656   1    0    1 int
0x0668   4    1    0 float
0x0690   4    0    1 float
0x069c   4    0    1 float
0x06b4   2    2    3 int
0x06b6   2    0    1 int
0x06d0   4    0    1 float
0x06fd   1    1    0 int
0x06fe   1    2    0 int
0x0709   1    0    2 int
0x071b   1    0    1 int
0x0720   4    1    5 float
0x0734   2    2    0 int
0x0754   4    0    1 int
0x07c9   1    0    2 int
0x07de   1    0    1 int
0x08c4   4    2    2 int
0x18da   2    0    4 int
0x18dc   2    1    6 int
0x18de   2    0    1 int
0x1b38   2    4    0 int
0x1cef   1    4    0 int
0x1cf0   1    3    0 int
0x1d0e   1    8    0 int
0x1d0f   1    7    0 int
0x1d10   1    4    1 int
0x1d9c   4    0    3 float
0x1dbc   4    0    2 float
0x1dc4   4    0    2 float
0x1dc8   4    5    0 float
0x1dcc   4    0    2 float
0x1dd4   4    1    0 float
