address	original_name	display_name	name_source	class	bucket	route_source	path	src_chunk
80003100	__check_pad3	__check_pad3	symbol		sdk-libc	symbol-or-address	sdk/libc/80003100_check_pad3.c	chunk_0000.c
80003140	__set_debug_bba	__set_debug_bba	symbol		sdk-libc	symbol-or-address	sdk/libc/80003140_set_debug_bba.c	chunk_0000.c
8000314c	zz_000314c_	zz_000314c_	generated		game-unsorted	symbol-or-address	game/unsorted/8000314c_zz_000314c.c	chunk_0000.c
80003154	start	start	symbol		game-unsorted	symbol-or-address	game/unsorted/80003154_start.c	chunk_0000.c
800032b0	__init_registers	__init_registers	symbol		sdk-libc	symbol-or-address	sdk/libc/800032b0_init_registers.c	chunk_0000.c
80003340	zz_0003340_	zz_0003340_	generated		game-unsorted	symbol-or-address	game/unsorted/80003340_zz_0003340.c	chunk_0000.c
80003400	gnt4-__init_hardware-bl	gnt4-__init_hardware-bl	symbol		sdk-libc	symbol-or-address	sdk/libc/80003400_gnt4-_init_hardware-bl.c	chunk_0000.c
80003424	zz_0003424_	knockback-targeting_candidate_80003424	evidence-index		knockback-targeting	evidence-topic	game/combat/knockback/80003424_knockback-targeting_candidate_80003424.c	chunk_0000.c
80003458	TRK_memset	TRK_memset	symbol		sdk-os	symbol-or-address	sdk/os/80003458_TRK_memset.c	chunk_0000.c
80003488	TRK_memcpy	TRK_memcpy	symbol		sdk-os	symbol-or-address	sdk/os/80003488_TRK_memcpy.c	chunk_0000.c
800053e0	__TRK_reset	__TRK_reset	symbol		sdk-libc	symbol-or-address	sdk/libc/800053e0_TRK_reset.c	chunk_0000.c
8000540c	gnt4-memset	gnt4-memset	symbol		sdk-libc	symbol-or-address	sdk/libc/8000540c_gnt4-memset.c	chunk_0000.c
8000543c	gnt4-__fill_mem-bl	gnt4-__fill_mem-bl	symbol		sdk-libc	symbol-or-address	sdk/libc/8000543c_gnt4-_fill_mem-bl.c	chunk_0000.c
800054f4	gnt4-memcpy	gnt4-memcpy	symbol		sdk-libc	symbol-or-address	sdk/libc/800054f4_gnt4-memcpy.c	chunk_0000.c
800055e0	zz_00055e0_	zz_00055e0_	generated		game-unsorted	symbol-or-address	game/unsorted/800055e0_zz_00055e0.c	chunk_0000.c
800055fc	zz_00055fc_	zz_00055fc_	generated		game-unsorted	symbol-or-address	game/unsorted/800055fc_zz_00055fc.c	chunk_0000.c
80005630	zz_0005630_	zz_0005630_	generated		game-unsorted	symbol-or-address	game/unsorted/80005630_zz_0005630.c	chunk_0000.c
80005668	zz_0005668_	zz_0005668_	generated		game-unsorted	symbol-or-address	game/unsorted/80005668_zz_0005668.c	chunk_0000.c
80005744	zz_0005744_	knockback-targeting_candidate_80005744	evidence-index		knockback-targeting	evidence-topic	game/combat/knockback/80005744_knockback-targeting_candidate_80005744.c	chunk_0000.c
800057f0	zz_00057f0_	zz_00057f0_	generated		game-unsorted	symbol-or-address	game/unsorted/800057f0_zz_00057f0.c	chunk_0000.c
8000584c	zz_000584c_	zz_000584c_	generated		game-unsorted	symbol-or-address	game/unsorted/8000584c_zz_000584c.c	chunk_0000.c
800058d0	zz_00058d0_	zz_00058d0_	generated		game-unsorted	symbol-or-address	game/unsorted/800058d0_zz_00058d0.c	chunk_0000.c
80005984	zz_0005984_	zz_0005984_	generated		game-unsorted	symbol-or-address	game/unsorted/80005984_zz_0005984.c	chunk_0000.c
8000598c	zz_000598c_	zz_000598c_	generated		game-unsorted	symbol-or-address	game/unsorted/8000598c_zz_000598c.c	chunk_0000.c
800059b8	zz_00059b8_	challenge-menu-flow_candidate_800059b8	evidence-index		challenge-menu-flow	evidence-topic	game/modes/challenge/800059b8_challenge-menu-flow_candidate_800059b8.c	chunk_0000.c
80005af4	FUN_80005af4	knockback-targeting_candidate_80005af4	evidence-index		knockback-targeting	evidence-topic	game/combat/knockback/80005af4_knockback-targeting_candidate_80005af4.c	chunk_0000.c
80005fe0	zz_0005fe0_	zz_0005fe0_	generated		game-unsorted	symbol-or-address	game/unsorted/80005fe0_zz_0005fe0.c	chunk_0000.c
800061a8	FUN_800061a8	FUN_800061a8	generated		game-unsorted	symbol-or-address	game/unsorted/800061a8_FUN_800061a8.c	chunk_0000.c
800061cc	glxCopyMatrix(float	glxCopyMatrix(float	symbol		game-unsorted	symbol-or-address	game/unsorted/800061cc_glxCopyMatrix_float.c	chunk_0000.c
800061f0	zz_00061f0_	zz_00061f0_	generated		game-unsorted	symbol-or-address	game/unsorted/800061f0_zz_00061f0.c	chunk_0000.c
80006238	zz_0006238_	zz_0006238_	generated		game-unsorted	symbol-or-address	game/unsorted/80006238_zz_0006238.c	chunk_0000.c
80006284	zz_0006284_	zz_0006284_	generated		game-unsorted	symbol-or-address	game/unsorted/80006284_zz_0006284.c	chunk_0000.c
800064d4	zz_00064d4_	challenge-menu-flow_candidate_800064d4	evidence-index		challenge-menu-flow	evidence-topic	game/modes/challenge/800064d4_challenge-menu-flow_candidate_800064d4.c	chunk_0000.c
8000673c	zz_000673c_	challenge-menu-flow_candidate_8000673c	evidence-index		challenge-menu-flow	evidence-topic	game/modes/challenge/8000673c_challenge-menu-flow_candidate_8000673c.c	chunk_0000.c
80006800	zz_0006800_	challenge-menu-flow_candidate_80006800	evidence-index		challenge-menu-flow	evidence-topic	game/modes/challenge/80006800_challenge-menu-flow_candidate_80006800.c	chunk_0000.c
